Permit Number,Permittee Name,Project Name,Mechanical Treatment Type (Suspended Growth/Attached Growth),Unit Process,Plant Optimized for Nutrient Reduction (Y/N),Year of Plant Optimization,Design Flow (MGD),Actual Flow From Permit Application (MGD) ,Average Facility Flow 2019 (MGD),Average Facility Flow 2020 (MGD),Average Facility Flow 2021 (MGD),Average Facility Flow 2022 (MGD),Average Facility Flow 2023 (MGD),Parameter,Nutrient Limit or Monitoring Requirement,Frequency,Sample Type,Monthly Average (lb/day),Daily Max (lb/day),Quarterly Average (lb/day),Monthly Average (mg/L),Daily Max (mg/L),Quarterly Average (mg/L),Rolling Average (lb/yr),Annual Average (lb/day),Annual Total (lb/yr),Total Annual Effluent Loading 2019 (lb/yr),Total Annual Effluent Conentration 2019 (mg/L) [CALCULATED],Total Annual Effluent Loading 2020 (lb/yr),"Total Annual Effluent Concentration  2020 (mg/L)
[CALCULATED]",Total Annual Effluent Loading 2021 (lb/yr),"Total Annual Effluent Concentration  2021 (mg/L)
[CALCULATED]",Total Annual Effluent Loaading 2022 (lb/yr),"Total Annual Effluent Concentration 2022 (mg/L)
[CALCULATED]",Total Annual Effluent Loading 2023 (lb/yr),Total Annual Effluent Concentration 2023 (mg/L) [CALCULATED]
TN0060780,"Duncan's Landing Homeowners' Association, Inc.",,Suspended Growth,Activated Sludge,N,N/A,0.012,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,"Nitrogen, Total (as N)",Neither,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
TN0060780,"Duncan's Landing Homeowners' Association, Inc.",,Suspended Growth,Activated Sludge,N,N/A,0.012,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,"Phosphorous, Total (as P)",Neither,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
TN0061166,City of Sparta,Sparta STP,Suspended Growth,Oxidation Ditch,N,N/A,1.6,1.25,1.14,1.15,0.99,1.09,0.98,"Nitrogen, Total (as N)",Monitor,Quarterly,Grab,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,8978,2.59,10797,3.09,9232,3.07,8608,2.60,5454,1.83
TN0061166,City of Sparta,Sparta STP,Suspended Growth,Oxidation Ditch,N,N/A,1.6,1.25,1.14,1.15,0.99,1.09,0.98,"Phosphorous, Total (as P)",Monitor,Quarterly,Grab,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,2605,0.75,1937,0.55,1850,0.62,2507,0.76,1926,0.65
TN0061271,Paris Board of Public Utilities,Paris WWTP,Suspended Growth,Oxidation Ditch,N,N/A,2.5,2.95,2.72,2.97,2.46,2.19,2.06,"Nitrogen, Total (as N)",Limit,Monthly,Composite,Not Limited,Not Limited,Not Limited,Not Limited,Report,Not Limited,81846,Report,Not Limited,31251,3.79,32751,3.63,21303,2.85,6300,0.95,54631,8.74
TN0061271,Paris Board of Public Utilities,Paris WWTP,Suspended Growth,Oxidation Ditch,N,N/A,2.5,2.95,2.72,2.97,2.46,2.19,2.06,"Phosphorous, Total (as P)",Limit,Monthly,Composite,Not Limited,Not Limited,Not Limited,Not Limited,Report,Not Limited,3956,Report,Not Limited,1197,0.14,1495,0.17,1404,0.19,Not Recorded,Not Recorded,2511,0.40
TN0061701,City of Kingston,Kingston STP,Suspended Growth,Oxidation Ditch,N,N/A,2,0.83,0.76,0.75,0.72,0.65,0.59,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,12107,5.25,26784,11.77,8511,3.89,19617,9.94,15368,8.58
TN0061701,City of Kingston,Kingston STP,Suspended Growth,Oxidation Ditch,N,N/A,2,0.83,0.76,0.75,0.72,0.65,0.59,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,4232,1.83,6716,2.95,2966,1.36,5894,2.99,3947,2.20
TN0061743,Knoxville Utilities Board (KUB),East Bridge STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,1.33,0.48,0.47,0.49,0.4,0.43,0.42,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,37800,26.50,12958,8.71,7784,6.41,7228,5.54,4687,3.68
TN0061743,Knoxville Utilities Board (KUB),East Bridge STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,1.33,0.48,0.47,0.49,0.4,0.43,0.42,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,4371,3.06,1426,0.96,1168,0.96,1341,1.03,1414,1.11
TN0061841,Lewisburg Water and Sewer Department,Cornersville STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,0.1,0.082,0.077,0.09,0.1,0.1,0.11,"Nitrogen, Total (as N)",Limit,Twice A Month,Composite,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,10840,Not Limited,Not Limited,8499,36.36,6126,22.42,7510,24.74,7277,23.97,8813,26.40
TN0061841,Lewisburg Water and Sewer Department,Cornersville STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,0.1,0.082,0.077,0.09,0.1,0.1,0.11,"Phosphorous, Total (as P)",Limit,Twice A Month,Composite,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,1750,Not Limited,Not Limited,957,4.09,1276,4.67,1306,4.30,1280,4.22,1239,3.71
TN0062057,City of Mount Carmel,Mount Carmel STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,0.472,0.27,0.23,0.26,0.22,0.22,0.17,"Nitrogen, Total (as N)",Neither,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
TN0062057,City of Mount Carmel,Mount Carmel STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,0.472,0.27,0.23,0.26,0.22,0.22,0.17,"Phosphorous, Total (as P)",Neither,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
TN0062111,Town of Newbern,Newbern STP,Suspended Growth,Oxidation Ditch,N,N/A,2.2,1.61,1.61,1.61,1.61,1.61,1.61,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,48822,9.99,18844,3.86,14077,2.88,16221,3.32,13047,2.67
TN0062111,Town of Newbern,Newbern STP,Suspended Growth,Oxidation Ditch,N,N/A,2.2,1.61,1.61,1.61,1.61,1.61,1.61,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,11305,2.31,5055,1.03,3822,0.78,4370,0.89,3835,0.78
TN0062332,Water Authority of Dickson County,Fairview STP,Suspended Growth,Oxidation Ditch,N,N/A,0.46,0.31,0.42,0.41,0.58,0.57,0.49,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,10408,8.16,5161,4.15,9387,5.33,1898,1.10,2634,1.77
TN0062332,Water Authority of Dickson County,Fairview STP,Suspended Growth,Orbal,N,N/A,0.46,0.31,0.42,0.41,0.58,0.57,0.49,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,1330,1.04,491,0.39,775,0.44,123,0.07,114,0.08
TN0062375,Milan Public Utilities,Milan STP,Attached Growth,Trickling Filter ,N,N/A,2.55,1.47,1.66,1.44,1.25,1.23,1.28,"Nitrogen, Total (as N)",Limit,Quarterly,Composite,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Report,108825,Not Limited,Not Limited,28233,5.60,8575,1.96,11624,3.06,19213,5.15,11729,3.02
TN0062375,Milan Public Utilities,Milan STP,Attached Growth,Trickling Filter ,N,N/A,2.55,1.47,1.66,1.44,1.25,1.23,1.28,"Phosphorous, Total (as P)",Limit,Quarterly,Composite,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Report,19033,Not Limited,Not Limited,5307,1.05,1597,0.37,2955,0.78,3547,0.95,2994,0.77
TN0062545,City of Martin,Martin Wastewater Treatment Plant,Suspended Growth,Oxidation Ditch,N,N/A,2.5,1.58,1.7,1.57,1.53,1.57,1.38,"Nitrogen, Total (as N)",Limit,Monthly,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,60882,42571,8.25,31078,6.52,31911,6.87,35606,7.47,36206,8.64
TN0062545,City of Martin,Martin Wastewater Treatment Plant,Suspended Growth,Oxidation Ditch,N,N/A,2.5,1.58,1.7,1.57,1.53,1.57,1.38,"Phosphorous, Total (as P)",Limit,Monthly,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,20785,12497,2.42,10212,2.14,12266,2.64,10229,2.15,10351,2.47
TN0062588,Humboldt Board of Public Utilities,Humboldt Wastewater Treatment Plant,Both,Aeration Basin Conventional Extended Air,Y,2016,2.6,1.6,1.73,1.56,1.92,3,2.98,"Nitrogen, Total (as N)",Monitor,Monthly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Report,38197,7.27,30535,6.45,52143,8.95,21787,2.39,54849,6.06
TN0062588,Humboldt Board of Public Utilities,Humboldt Wastewater Treatment Plant,Both,Trickling Filter ,Y,2016,2.6,1.6,1.73,1.56,1.92,3,2.98,"Phosphorous, Total (as P)",Limit,Monthly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,15220,9566,1.82,8532,1.80,10728,1.84,2633,0.29,32477,3.59
TN0062626,Town of Byrdstown,Byrdstown STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,0.6,0.22,0.23,0.23,0.21,0.22,0.18,"Nitrogen, Total (as N)",Limit,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,26.7,Not Limited,3954,5.66,4500,6.45,1770,2.78,907,1.36,1156,2.12
TN0062626,Town of Byrdstown,Byrdstown STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,0.6,0.22,0.23,0.23,0.21,0.22,0.18,"Phosphorous, Total (as P)",Limit,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,3.6,Not Limited,642,0.92,690,0.99,392,0.61,198,0.30,332,0.61
TN0062634,City of Jamestown,Jamestown STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,1,0.5,0.46,0.46,0.41,0.39,0.34,"Nitrogen, Total (as N)",Limit,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,66.7,Not Limited,Not Recorded,Not Recorded,538,0.39,803,0.65,1024,0.87,916,0.89
TN0062634,City of Jamestown,Jamestown STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,1,0.5,0.46,0.46,0.41,0.39,0.34,"Phosphorous, Total (as P)",Limit,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,8.34,Not Limited,Not Recorded,Not Recorded,146,0.10,254,0.20,353,0.30,205,0.20
TN0063771,City of Etowah,Etowah STP,Suspended Growth,Oxidation Ditch,N,N/A,1.2,1.28,1.18,1.28,1.2,1.15,1.17,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,42388,11.83,77435,19.93,85835,23.57,67840,19.43,86715,24.42
TN0063771,City of Etowah,Etowah STP,Suspended Growth,Oxidation Ditch,N,N/A,1.2,1.28,1.18,1.28,1.2,1.15,1.17,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,4076,1.14,4262,1.10,5364,1.47,8151,2.34,4379,1.23
TN0063932,Town of Baileyton,Baileyton STP,Suspended Growth,Aeration Basin Conventional Extended Air,Y,2016,0.2,0.06,0.052,0.046,0.048,0.05,0.058,"Nitrogen, Total (as N)",Limit,Twice A Month,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,5509,Not Limited,Not Limited,2183,13.83,1780,12.75,3982,27.33,3383,22.29,4298,24.41
TN0063932,Town of Baileyton,Baileyton STP,Suspended Growth,Aeration Basin Conventional Extended Air,Y,2016,0.2,0.06,0.052,0.046,0.048,0.05,0.058,"Phosphorous, Total (as P)",Limit,Twice A Month,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,1409,Not Limited,Not Limited,696,4.41,757,5.42,1031,7.08,830,5.47,825,4.69
TN0063959,City of Sevierville,McCroskey Island STP,Suspended Growth,Oxidation Ditch,N,N/A,4.8,4.52,5.15,5.18,5.18,5.67,6.12,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,36747,2.35,Not Recorded,Not Recorded,Not Recorded,Not Recorded,38344,2.23,Not Recorded,Not Recorded
TN0063959,City of Sevierville,McCroskey Island STP,Suspended Growth,Oxidation Ditch,N,N/A,4.8,4.52,5.15,5.18,5.18,5.67,6.12,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,15480,0.99,Not Recorded,Not Recorded,Not Recorded,Not Recorded,5329,0.31,Not Recorded,Not Recorded
TN0064149,City of Luttrell,Luttrell STP,Attached Growth,Trickling Filter ,N,N/A,0.18,0.11,0.11,0.11,0.11,0.11,0.11,"Nitrogen, Total (as N)",Monitor,Quarterly,Grab,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,3530,10.57,3921,11.74,3307,9.90,4419,13.24
TN0064149,City of Luttrell,Luttrell STP,Attached Growth,Trickling Filter ,N,N/A,0.18,0.11,0.11,0.11,0.11,0.11,0.11,"Phosphorous, Total (as P)",Limit,Twice A Month,Calculated,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,8,Not Limited,2530,7.58,2620,7.85,2568,7.69,2544,7.62,2578,7.72
TN0064424,Town of Oneida,Oneida STP,Suspended Growth,Oxidation Ditch,Y,2021,0.98,1.25,0.85,0.81,0.76,0.69,0.58,"Nitrogen, Total (as N)",Limit,Monthly,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,64,Not Limited,12775,4.95,13887,5.65,7405,3.21,8430,4.03,5584,3.17
TN0064424,Town of Oneida,Oneida STP,Suspended Growth,Oxidation Ditch,Y,2021,0.98,1.25,0.85,0.81,0.76,0.69,0.58,"Phosphorous, Total (as P)",Limit,Monthly,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,8.2,Not Limited,1814,0.70,9343,3.80,1197,0.52,1558,0.74,1000,0.57
TN0064688,Town of Monterey,Town of Monterey upgrade to comply with Agreed Order WPC13-0057,Attached Growth,Rotating Biological Contactor,N,N/A,1,0.89,0.66,0.57,0.7,0.76,0.65,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,3778,1.89,3578,2.07,5924,2.79,5218,2.26,5118,2.59
TN0064688,Town of Monterey,Town of Monterey upgrade to comply with Agreed Order WPC13-0057,Attached Growth,Rotating Biological Contactor,N,N/A,1,0.89,0.66,0.57,0.7,0.76,0.65,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,2133,1.06,2201,1.27,1692,0.80,2185,0.95,2273,1.15
TN0064882,City of Erin,Erin STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,0.9,0.61,0.786,0.88,0.84,0.76,0.66,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,6342,2.49,4473,1.94,3793,1.89
TN0064882,City of Erin,Erin STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,0.9,0.61,0.786,0.88,0.84,0.76,0.66,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,814,0.32,498,0.22,471,0.24
TN0064912,City of South Fulton,South Fulton STP,Attached Growth,Trickling Filter ,N,N/A,0.49,0.46,0.5,0.49,0.42,0.42,0.39,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,2978,2.00,4340,3.40,6263,4.91,3515,2.97
TN0064912,City of South Fulton,South Fulton STP,Attached Growth,Trickling Filter ,N,N/A,0.49,0.46,0.5,0.49,0.42,0.42,0.39,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,391,0.26,546,0.43,921,0.72,558,0.47
TN0064947,"River Landing Condominium Owners Association, Inc.
",River Landing Drip Wastewater Plant,Attached Growth,Recirculating Media Filter,N,N/A,0.0216,0.022,Not Recorded,0.022,0.022,0.022,0.022,"Nitrogen, Total (as N)",Neither,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
TN0064947,"River Landing Condominium Owners Association, Inc.
",River Landing Drip Wastewater Plant,Attached Growth,Recirculating Media Filter,N,N/A,0.0216,0.022,Not Recorded,0.022,0.022,0.022,0.022,"Phosphorous, Total (as P)",Neither,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
TN0064971,Town of White Pine,White Pine STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,0.389,0.23,0.48,0.62,0.39,0.33,0.32,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Report,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,4541,4.68
TN0064971,Town of White Pine,White Pine STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,0.389,0.23,0.48,0.62,0.39,0.33,0.32,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Report,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,5334,5.49
TN0065358,City of Smithville,Smithville STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,2.16,2.05,1.87,2,2.06,1.97,1.68,"Nitrogen, Total (as N)",Limit,Monthly,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,67730,Not Limited,Not Limited,15375,2.71,12209,2.01,43752,7.00,38502,6.44,37494,7.35
TN0065358,City of Smithville,Smithville STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,2.16,2.05,1.87,2,2.06,1.97,1.68,"Phosphorous, Total (as P)",Limit,Monthly,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,13990,Not Limited,Not Limited,4047,0.71,4223,0.70,8129,1.30,5073,0.85,7637,1.50
TN0066800,City of Bartlett,Bartlett STP No. 1,Suspended Growth,Oxidation Ditch,N,N/A,2.2,1.41,1.34,1.41,1.41,1.45,1.56,"Nitrogen, Total (as N)",Limit,Monthly,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,57727,Not Limited,Not Limited,18274,4.49,20157,4.71,18865,4.41,10105,2.30,71.3,0.02
TN0066800,City of Bartlett,Bartlett STP No. 1,Suspended Growth,Oxidation Ditch,N,N/A,2.2,1.41,1.34,1.41,1.41,1.45,1.56,"Phosphorous, Total (as P)",Limit,Monthly,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,23725,Not Limited,Not Limited,8964,2.20,11726,2.74,14448,3.38,9907,2.25,12562,2.65
TN0066958,Water Authority of Dickson County,Jones Creek STP,Suspended Growth,Oxidation Ditch,N,N/A,4,3.47,3.98,3.73,3.77,3.33,3.04,"Nitrogen, Total (as N)",Limit,Twice A Month,Composite,Report,Not Limited,Not Limited,4,Report,Not Limited,Not Limited,Report,Not Limited,22476,1.86,14475,1.28,24146,2.11,39801,3.94,38876,4.21
TN0066958,Water Authority of Dickson County,Jones Creek STP,Suspended Growth,Orbal,N,N/A,4,3.47,3.98,3.73,3.77,3.33,3.04,"Phosphorous, Total (as P)",Limit,Twice A Month,Composite,Report,Not Limited,Not Limited,3,Report,Not Limited,Not Limited,Report,Not Limited,9397,0.78,7691,0.68,7572,0.66,6474,0.64,8830,0.96
TN0067318,Town of Parrottsville,Parrottsville STP,Attached Growth,Recirculating Media Filter,N,N/A,0.013,0.014,0.014,0.014,0.014,0.014,0.014,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
TN0067318,Town of Parrottsville,Parrottsville STP,Attached Growth,Recirculating Media Filter,N,N/A,0.013,0.014,0.014,0.014,0.014,0.014,0.014,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
TN0067334,City of Benton,Benton STP,Suspended Growth,Oxidation Ditch,N,N/A,0.4,0.041,0.012,0.019,0.042,0.055,0.03,"Nitrogen, Total (as N)",Limit,Monthly,Grab,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,12176,Not Limited,Not Limited,1222,33.55,1230,21.33,1576,12.36,1599,9.58,1152,12.65
TN0067334,City of Benton,Benton STP,Suspended Growth,Oxidation Ditch,N,N/A,0.4,0.041,0.012,0.019,0.042,0.055,0.03,"Phosphorous, Total (as P)",Limit,Monthly,Grab,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,1948,Not Limited,Not Limited,723,19.85,130,2.25,176,1.38,171,1.02,245,2.69
TN0067539,Athens Utilities Board (AUB),North Mouse Creek STP,Suspended Growth,Aeration Basin Conventional Extended Air,Y,2015,1.2,1.21,1.36,1.32,0.87,0.93,0.88,"Nitrogen, Total (as N)",Limit,Weekly/Annual,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,29223,Not Limited,Not Limited,2386,0.58,2719,0.68,4639,1.76,5718,2.03,5412,2.03
TN0067539,Athens Utilities Board (AUB),North Mouse Creek STP,Suspended Growth,Oxidation Ditch,Y,2015,1.2,1.21,1.36,1.32,0.87,0.93,0.88,"Phosphorous, Total (as P)",Limit,Weekly/Annual,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,18385,Not Limited,Not Limited,1186,0.29,1376,0.34,811,0.31,3202,1.13,4622,1.73
TN0067733,Town of Gordonsville,Gordonsville STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,0.325,0.089,0.083,0.086,0.16,0.17,0.095,"Nitrogen, Total (as N)",Monitor,Quarterly,Grab,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,2152,8.54,2532,9.70,2822,5.81,2825,5.47,3621,12.56
TN0067733,Town of Gordonsville,Gordonsville STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,0.325,0.089,0.083,0.086,0.16,0.17,0.095,"Phosphorous, Total (as P)",Monitor,Quarterly,Grab,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,566,2.25,566,2.17,1778,3.66,394,0.76,569,1.97
TN0068187,Morristown Utilities Commission,Lowland Wastewater Treatment Plant,Suspended Growth,Activated Sludge,N,N/A,5,0.5,0.13,0.14,0.25,0.26,0.29,"Nitrogen, Total (as N)",Monitor,Weekly,Not Limited,Not Limited,Not Limited,Not Limited,Report,Report,Not Limited,Not Limited,Not Limited,Not Limited,112844,285.97,79451,186.97,57832,76.21,49141,62.27,60811,69.08
TN0068187,Morristown Utilities Commission,Lowland Wastewater Treatment Plant,Suspended Growth,Activated Sludge,N,N/A,5,0.5,0.13,0.14,0.25,0.26,0.29,"Phosphorous, Total (as P)",Monitor,Weekly,Not Limited,Not Limited,Not Limited,Not Limited,Report,Report,Not Limited,Not Limited,Not Limited,Not Limited,7259,18.40,24633,57.97,16515,21.76,15773,19.99,16039,18.22
TN0068594,Cumberland Point Condominium Property Owners Association,,Suspended Growth,Activated Sludge,N,N/A,0.009,0.001,0.001,0.001,0.0027,0.0036,0.0045,"Nitrogen, Total (as N)",Neither,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
TN0068594,Cumberland Point Condominium Property Owners Association,,Suspended Growth,Activated Sludge,N,N/A,0.009,0.001,0.001,0.001,0.0027,0.0036,0.0045,"Phosphorous, Total (as P)",Neither,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
TN0074586,Town of Pegram,Pegram STP,Attached Growth,Recirculating Media Filter,N,N/A,0.05,0.018,0,0,0,0,0.0029,"Nitrogen, Total (as N)",Neither,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
